Price,Date,Close,High,Low,Open,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
0,2011-01-03,216.1355743408203,218.3673692531655,215.52132400150546,218.0602372495442,10411256
1,2011-01-04,220.5377197265625,221.11102093598458,216.48364848257395,217.03647513694264,22021878
2,2011-01-05,220.27159118652344,223.17906054856513,219.0840257703478,221.13153632549157,25943243
3,2011-01-06,222.27813720703125,223.46568887290982,220.0156302731231,220.72201617184024,21763180
4,2011-01-07,218.14215087890625,222.71835108321636,216.6269926453586,221.3977011426786,17875107
5,2011-01-10,211.60032653808594,219.17613094492813,209.09212508844786,218.1421385310729,18478415
6,2011-01-11,207.56674194335938,214.72280470766262,204.4647645182651,212.9414635585589,21147094
7,2011-01-12,211.05770874023438,212.05075190848456,205.36561892292247,208.97948691413006,23195000
8,2011-01-13,207.89434814453125,212.76742943116616,207.0241521287903,210.89395277805502,24336418
9,2011-01-14,205.05853271484375,210.8529962051859,204.34189590325545,207.6281578888949,19111808
10,2011-01-17,204.3214111328125,206.3894095704724,203.1236223045386,205.36564079539167,14046519
11,2011-01-18,203.69691467285156,206.38940060193033,202.70387144198946,205.74442479818453,14871527
12,2011-01-19,200.6870880126953,205.77515187107952,199.63262104012355,204.6694985083759,23491557
13,2011-01-20,198.57814025878906,200.1649730234624,195.44545117737462,200.1649730234624,41343304
14,2011-01-21,202.04869079589844,203.2157678487209,199.22311999988503,199.63262479657325,19528676
15,2011-01-24,198.9364471435547,203.9119006521562,197.4008145257825,203.74810421333052,22242712
16,2011-01-25,196.2541961669922,201.66987987778572,195.7935050202275,200.06257266879962,20325555
17,2011-01-27,193.0191650390625,198.07651750760965,192.46633830914993,197.78987369769231,28105152
18,2011-01-28,186.9380340576172,193.67435459514962,184.68576447019757,193.49008358396785,33855702
19,2011-01-31,188.2279510498047,190.18332567663663,184.91097754468143,186.0882917645106,25332450
20,2011-02-01,183.35487365722656,189.94785800771035,181.93185109013316,189.41550591322047,37898873
21,2011-02-02,188.637451171875,189.9887990717769,185.77093160421214,186.32375823015866,28465716
22,2011-02-03,193.26483154296875,194.00194285395386,187.34752117193165,190.00928164398425,17047728
23,2011-02-04,188.3712921142578,193.98148463477256,186.9687439841291,193.98148463477256,20715343
